tipo,tipo_eje,porcentaje
Hoteles y restaurantes,Hoteles y rest.,"-0,2310343574"
Enseñanza,Enseñanza,"-0,1170782458"
"Transporte, almacenamiento y comunicación",Transporte,"-0,1050247026"
Servicios sociales y de salud,Serv. sociales y salud,"-0,09217157936"
Comercio y reparaciones,Comercio,"-0,08504709351"
"Actividades inmobiliarias, empresariales y de alquiler",Act. inmob. y otros,"-0,0760666468"
Construcción,Construcción,"-0,07171042806"
Industrias manufactureras,Ind. manufactureras,"-0,06516252569"
"Suministro de electricidad, gas y agua",Suministros,"-0,01787684317"
Intermediación financiera,Interm. financiera,"-0,002028288388"
"Agricultura, ganaderÍa, caza y silvicultura",Agric. y otros,"0,006278602941"
Explotación de minas y canteras,Minas y canteras,"0,05259360954"