Pais,Pais_eje,Edad,Hombres_total,Mujeres_total,Hombres_formal,Mujeres_formal,Hombres_informal,Mujeres_informal
ARG,Argentina,"[14,24]","-0,2852555918","-0,3124936089","-0,4184299465","-0,3563056875","-0,2293994789","-0,2946171923"
ARG,Argentina,"[25,34]","-0,03835985124","-0,1264284282","-0,02203309093","-0,08969661169","-0,05530001416","-0,1617297457"
ARG,Argentina,"[35,55]","-0,07880872233","-0,07181307055","-0,04314708602","0,06289523968","-0,11792138","-0,2223500308"
ARG,Argentina,"[56,70]","-0,2105298555","-0,2267537542","-0,05409677179","-0,0885413244","-0,3283298026","-0,3293556151"
BRA,Brasil,"[14,24]","-0,2177384358","-0,2828368081","-0,2152744392","-0,2798091194","-0,2202478109","-0,2862848364"
BRA,Brasil,"[25,34]","-0,1451612903","-0,1655565049","-0,1560696782","-0,1570703514","-0,1288416081","-0,1739664331"
BRA,Brasil,"[35,55]","-0,06827309237","-0,03921568627","-0,07272727273","-0,02189781022","-0,05747221629","-0,07353674754"
BRA,Brasil,"[56,70]","0,05585421702","-0,01977637329","0,05547828588","-0,04217213115","0,05639995558","0,01245074137"
CHL,Chile,"[14,24]","-0,2855217285","-0,3977552146","-0,2322240889","-0,372943065","-0,3588064047","-0,4273062343"
CHL,Chile,"[25,34]","-0,05916719482","-0,09113374652","-0,07453421617","-0,07366073582","-0,0222986691","-0,1315015189"
CHL,Chile,"[35,55]","-0,04804654016","-0,1071942582","-0,03577284426","-0,04937546474","-0,07172520069","-0,2085300155"
CHL,Chile,"[56,70]","-0,1019536882","-0,2126379086","-0,02588114129","-0,07941239538","-0,1769969258","-0,3386458187"
COL,Colombia,"[14,24]","-0,1023439545","-0,2147418674","-0,2357861435","-0,3426800908","-0,05534675287","-0,1540591173"
COL,Colombia,"[25,34]","-0,07421372495","-0,1774630139","-0,2768081147","-0,2719870718","0,1204275462","-0,08964614001"
COL,Colombia,"[35,55]","-0,07290032831","-0,1412167545","-0,2544417234","-0,2394212011","0,06337234347","-0,07409272113"
COL,Colombia,"[56,70]","-0,07442967646","-0,1494867074","-0,1976516408","-0,2225708868","-0,02315938375","-0,1279573954"
CRI,Costa Rica,"[14,24]","-0,2478833091","-0,401385254","-0,2373072149","-0,3598079372","-0,2659206143","-0,4804858883"
CRI,Costa Rica,"[25,34]","-0,1492911603","-0,229306125","-0,1346023981","-0,1885267738","-0,1979145369","-0,3518465808"
CRI,Costa Rica,"[35,55]","-0,07078130397","-0,111996161","-0,05999077785","-0,03878319311","-0,1137316794","-0,2639694313"
CRI,Costa Rica,"[56,70]","-0,06938896775","-0,09900528089","-0,04063102404","-0,04212413626","-0,1362530414","-0,1728711576"
ECU,Ecuador,"[14,24]","-0,03705471854","-0,06670830352","-0,1076243204","-0,3073027331","-0,02418454145","-0,02083558782"
ECU,Ecuador,"[25,34]","-0,09150929005","-0,07738775889","-0,1693866196","-0,007878842764","-0,0403141123","-0,1221575613"
ECU,Ecuador,"[35,55]","-0,07602606703","-0,03106166348","-0,05909212627","-0,01194782378","-0,08786971271","-0,04214189658"
ECU,Ecuador,"[56,70]","0,07637815582","-0,02564314749","0,03174637989","-0,008447310711","0,1075374853","-0,03480590566"
MEX,México,"[14,24]","-0,06242936649","-0,1119300482","-0,1516489974","-0,1221875573","-0,02166123855","-0,1067066126"
MEX,México,"[25,34]","-0,02498825446","-0,04022353461","-0,007914242807","-0,02511655948","-0,03965603388","-0,05396356663"
MEX,México,"[35,55]","-0,006896551724","-0,03442883495","0,002758052596","0,04566777516","-0,01466380023","-0,08236508574"
MEX,México,"[56,70]","-0,04308349271","-0,1121070672","-0,02404812381","0,0297615511","-0,05021489168","-0,1549447713"
PRY,Puerto Rico,"[14,24]","-0,09083852518","-0,1894254315","-0,1265572818","-0,1326173583","-0,0842208622","-0,200346601"
PRY,Puerto Rico,"[25,34]","-0,07125036541","-0,0268835065","-0,08494009194","-0,06280496069","-0,06530624084","-0,01153527361"
PRY,Puerto Rico,"[35,55]","0,01075818584","-0,08267429238","-0,05004472439","0,0235059593","0,035000743","-0,1226503653"
PRY,Puerto Rico,"[56,70]","-0,0521631071","-0,09178551979","-0,2381513723","0,1687376537","-0,01590425626","-0,1258018621"