Fecha,Promedio,Argentina,Brasil,Chile,Colombia,México,Perú
ene. 20,"0,17","0,17","0,13","0,37","0,04","0,15","0,25"
feb. 20,-,-,-,-,-,-,-
mar. 20,"-0,08","0,05","-0,06","0,21","-0,22","-0,11","-0,19"
abr. 20,"-0,61","-0,54","-0,6","-0,43","-0,71","-0,6","-0,71"
may. 20,"-0,59","-0,55","-0,56","-0,46","-0,62","-0,59","-0,71"
jun. 20,"-0,44","-0,41","-0,41","-0,31","-0,5","-0,41","-0,56"
jul. 20,"-0,28","-0,31","-0,23","-0,24","-0,24","-0,22","-0,44"
ago. 20,"-0,16","-0,13","-0,08","-0,09","-0,26","-0,12","-0,26"
sept. 20,"-0,13","-0,05","-0,07","-0,05","-0,22","-0,15","-0,2"
oct. 20,"-0,07","0,03","-0,01","0,07","-0,17","-0,11","-0,17"
nov. 20,"-0,15","-0,01","-0,09","0,05","-0,28","-0,21","-0,24"
dic. 20,"-0,3","-0,22","-0,27","-0,05","-0,4","-0,4","-0,38"
ene. 21,"0,09","0,09","0,16","0,39","-0,02","-0,01","0,03"
feb. 21,"0,02","0,12","0,08","0,09",0,"-0,04","-0,1"
mar. 21,"0,24","0,55","0,25","0,53","0,05","0,08","0,13"
abr. 21,"0,09","0,46","0,09","0,29","-0,05","-0,02","-0,05"