Pais,Cambio en Vacantes,Experiencia,Educacion,Teletrabajo
Venezuela,-79%,45%,-37%,8%
Ecuador,-77%,20%,-21%,12%
Costa Rica,-67%,21%,-11%,1%
Panama,-66%,16%,-29%,4%
El Salvador,-62%,14%,-7%,0%
Guatemala,-52%,11%,-14%,1%
Rep. Dominicana,-48%,16%,-17%,32%
Honduras,-41%,10%,-14%,21%
Paraguay,-29%,42%,0%,72%
Nicaragua,-28%,12%,-11%,17%
Uruguay,-26%,21%,-34%,45%
Argentina,-17%,19%,4%,8%
ALC (Media Simple),-7%,13%,-10%,15%
Brasil,26%,0%,0%,6%
Chile,41%,4%,0%,10%
Colombia,46%,0%,2%,4%
Perú,98%,-15%,17%,34%
México,107%,-5%,2%,4%
Bolivia,120%,0%,0%,0%