Fecha,Fecha_eje,Empleo_Total,Empleo_Formal,Empleo_Informal
Febrero 2020,feb. 20,0,0,0
Marzo 2020,mar. 20,"-0,01527825497","-0,007632647663","-0,02140765969"
Abril 2020,abr. 20,"-0,112221828","-0,04207792261","-0,1684554752"
Mayo 2020,may. 20,"-0,1310751462","-0,06669826302","-0,1826854311"
Junio 2020,jun. 20,"-0,1415710609","-0,08189921928","-0,1894093624"
Julio 2020,jul. 20,"-0,1395652973","-0,08866417856","-0,1803722004"
Agosto 2020,ago. 20,"-0,12684312","-0,08997481812","-0,1564000583"
Septiembre 2020,sept. 20,"-0,1055771073","-0,08671891263","-0,120695528"
Octubre 2020,oct. 20,"-0,08202730437","-0,07512668352","-0,0875594611"
Noviembre 2020,nov. 20,"-0,07381599198","-0,06719312294","-0,07912547794"
Diciembre 2020,dic. 20,"-0,06232057956","-0,06863550207","-0,05725797116"
Enero 2021,ene. 21,"-0,07218134244","-0,07154979153","-0,07268765031"
Febrero 2021,feb. 21,"-0,0648559","-0,06496366","-0,0648"
Marzo 2021,mar. 21,"-0,0615244","-0,06153157","-0,0615"